No,Sentences,Subject of comparison,Object of comparison,Nature,Categories,Feature matching,Symmetry,Salience,"Broad, unifying concept",Domain incongruence,Gold,
52,"So February’s policy note is a stunning reversal – as close as an institution can come to recanting without saying, “Sorry, we messed up.” But it parallels a general shift in economists’ opinion.",February's policy note,an institution can come to recanting without apologizing,Quantitative,"Different basic level category (politics, human nature)",More prominent differences,Symmetrical  ,Same salience,Meaningful,Distinct,Comparison,
53,"The BILD-ZEITUNG claims to have learned that the CDU and SPD both plan to postpone, perhaps by as much as a year, any increases in legislators' pay.",CDU and SPD,-,Quantitative,-,-,-,-,-,-,Not Applicable,
54,He won't die. He is as strong as a horse.,He,horse,Qualitative,"Different basic level category (human, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
55,"True, America’s original thirteen colonies were a loose federation, and many Americans considered themselves citizens of their state first and of the US second as late as a century after the Revolution.",Americans,-,Quantitative,-,-,-,-,-,-,Not Applicable,
56,I heard her speaking English as fluently as an American.,Her speaking English,an American,Quantitative,Same superordinate category (human),More prominent similarities,Asymmetrical,Same salience ,Meaningful,Similar,Comparison,
57,The lake's water is as smooth as a mirror.,The lake's water,a mirror,Qualitative,"Different basic level category (nature, object)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
58,Nothing is as pleasant as a walk in the morning.,Nothing,a walk in the morning,-,-,-,-,-,-,-,Not Applicable,
59,He is as timid as a mouse.,He,mouse,Qualitative,"Different basic level category (human, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
60,Little by little the sky cleared. The sun came out in full splendor and the sea became as calm as a lake.,The sea,a lake,Qualitative,Same superordinate category (water body),More prominent similarities,Asymmetrical,High salience in object of comparison,Meaningful,Similar,Comparison,
61,Tom isn't as naive as a lot of people think he is.,Tom ,-,-,-,-,-,-,-,-,Not Applicable,
62,The child looks as neat as a pin.,The child,a pin,Qualitative,"Different basic level category (human, object)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
63,Important: The counting stops as soon as a Jack is missing from the hand.,The counting stops,-,-,-,-,-,-,-,-,Not Applicable,
64,She is as thin as a broom stick.,She,a broomstick,Qualitative,"Different basic level category (human, object)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
65,"Many in Russia worry that a US attack against Russia’s nuclear deterrent and other defense assets that relies on America’s growing stock of long-range, precision-guided conventional weapons would be as devastating as a nuclear strike.",Precision-guided conventional weapons,a nuclear strike,Qualitative,Same superordinate category (weapons),More prominent similarities,Asymmetrical,High salience in object of comparison,Meaningful,Similar,Comparison,
66,"In my soul there are many places that are cynical and arrogant, but at its core, it fears the darkness and is as week as a sheep.",My soul,a sheep,Qualitative,"Different basic level category (abstract, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
67,A caged cricket eats just as much as a free cricket.,A caged cricket,a free cricket,Quantitative,Same superordinate category (animals),More prominent similarities,Symmetrical,Same salience,Meaningful,Similar,Comparison,
68,He was as still as a statue.,He,statue,Qualitative,"Different basic level category (human, object)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
69,"""What are the twelve signs of the Zodiac, in the order in which the sun passes them by in the course of a year?"" - ""Um, let me think for a minute!"" - ""No thinking! It's got to come as quick as a shot!""",The answer,shot,Qualitative,"Different basic level category (abstract, object)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
70,You look as pale as a ghost.,You,a ghost,Qualitative,"Different basic level category (human, abstract)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
71,She was as thin as a rail.,She,a rail,Qualitative,"Different basic level category (human, object)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
72,He is as brave as a bulldog and as tenacious as a lobster if he gets his claws upon anyone. ,He,"bulldog, lobster",Qualitative,"Different basic level category (human, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
73,A nod is as good as a wink to a blind horse.,A nod,a wink,Quantitative,Same superordinate category (human behaviour),More prominent similarities,Symmetrical,Same salience,Meaningful,Similar,Comparison,
74,"His heart is as firm as a stone, yes, firm as the lower millstone.",His heart,a stone,Qualitative,"Different basic level category (human body, object)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
75,He's as poor as a church mouse.,He,a church mouse,Qualitative,"Different basic level category (human, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
76,"The beautiful Vasilissa came forward, as bright as a star, bowed to her sovereign, bowed to the honorable guests and danced with her husband, the happy Tsarevitch Ivan.",The beautiful Vasilissa,star,Qualitative,"Different basic level category (human, celestial body)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
77,His skin is as firm as a teenager's.,His skin,a teenager,Qualitative,Same superordinate category (human body),More prominent similarities,Asymmetrical,Same salience,Meaningful,Similar,Comparison,
78,That used car salesman is as crooked as a dog's hind leg.,The used car salesman,a dog's hind leg,Qualitative,"Different basic level category (human, animal)",More prominent differences,Asymmetrical ,High salience in object of comparison,Meaningful,Distinct,Simile,
79,He is as poor as a rat.,He,a rat,Qualitative,"Different basic level category (human, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
80,He's as strong as a horse.,He,a horse,Qualitative,"Different basic level category (human, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
81,Trang's party was as fun as a funeral wake.,Trang's party,a funeral wake,Qualitative,Same superordinate category (social gathering),More prominent similarities,Asymmetrical ,Same salience,Meaningful,Similar,Comparison,
82,"As far as politics is concerned, he's still as innocent as a child.",He,a child,Qualitative,Same superordinate category (human),More prominent similarities,Asymmetrical ,Same salience,Meaningful,Similar,Comparison,
83,"You will therefore permit me to repeat, emphatically, that Old Marley was as dead as a door-nail.",Old Marley,a door-nail,Qualitative,"Different basic level category (human, object)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
84,"""No, Your Excellency, it must stand, summer and winter, as long as a chip of it remains.""",I,-,-,-,-,-,-,-,-,Not Applicable,
85,"As objects gradually became more and more shadowy, everything appeared so dream-like and loathsome that he felt as frightened as a child sleeping in the dark. It was as though he had gone blind.",He,a child,Qualitative,Same superordinate category (human),More prominent similarities,Asymmetrical ,Same salience,Meaningful,Similar,Comparison,
86,Nothing is as hard as a diamond.,Nothing,a diamond,-,-,-,-,-,-,-,Not Applicable,
87,"It was without address; I opened it hastily, and on the instant flushed as red as a peony, and my heart beat so violently that the old woman observed my agitation. The note was from - my Lady fair, whose handwriting I had often seen at the bailiff's.",The note,peony,Qualitative,"Different basic level category (object, fauna)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
88,He's as timid as a rabbit.,He,rabbit,Qualitative,"Different basic level category (human, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
89,He is as nutty as a fruitcake.,He,fruitcake,Qualitative,"Different basic level category (human, food)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
90,The politician is as slippery as an eel!,The politician,an eel,Qualitative,"Different basic level category (human, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
91,I was as sober as a judge.,I,a judge,Qualitative,Same superordinate category (human),More prominent similarities,Asymmetrical,Same salience,Meaningful,Similar,Comparison,
92,Superman flies as fast as a rocket.,Superman,a rocket,Qualitative,"Different basic level category (superhuman, object)",More prominent differences,Symmetrical ,Same salience ,Meaningful,Distinct,Simile,
93,He's as blind as a bat.,He,a bat,Qualitative,"Different basic level category (human, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
94,The old fellow is as healthy and as strong as an oak.,The old fellow,an oak,Qualitative,"Different basic level category (human, plant)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
95,"The application will be made today, and is expected to be heard as soon as a hearing can be fixed.",The application,-,-,-,-,-,-,-,-,Not Applicable,
96,He always keeps his room as neat as a pin.,His room,a pin,Qualitative,"Different basic level category (place, object)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
97,He is as stubborn as a Missouri Mule.,He,a Missouri Mule,Qualitative,"Different basic level category (object, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
98,The surface was as flat as a mirror.,The surface,a mirror,Quantitative,Same superordinate category (object),More prominent similarities,Symmetrical,Same salience,Meaningful,Similar,Comparison,
99,"It allows very poor people, who don't qualify for traditional loans, to get loans of as little as a few dollars without collateral.",Loans,-,Quantitative,-,-,-,-,-,-,Not Applicable,
100,Tom is as gentle as a lamb.,Tom,lamb,Qualitative,"Different basic level category (human, animal)",More prominent differences,Asymmetrical,High salience in object of comparison,Meaningful,Distinct,Simile,
